_id,area,baths_count,building_floors,date,district,flat_floor,neighborhood,price,rooms_count,warming_type
60bdd051d34df1b74c79460d,145 m2,Eşyalı Değil,3 Katlı,5 Gün Önce,Beylikdüzü,2. Kat,Marmara,649.000 TL,3,Kombi
60bdd058d34df1b74c79460e,90 m2,Bilinmiyor,5 Katlı,4 Gün Önce,Kağıthane,5. Kat,Telsizler,335.000 TL,3,Kombi
60bdd062d34df1b74c79460f,270 m2,50 Yaşında,null,3 Gün Önce,Beşiktaş,1. Kat,Bebek,17.000.000 TL,5,null
60bdd069d34df1b74c794610,170 m2,Eşyalı,3 Katlı,3 Gün Önce,Adalar,Bahçe Katı,Nizam,2.500.000 TL,5,Isıtma Yok
60bdd06dd34df1b74c794611,110 m2,4 Katlı,null,2 Gün Önce,Fatih,2. Kat,Seyyid Ömer,415.000 TL,3,Kombi
60bdd074d34df1b74c794612,160 m2,Eşyalı Değil,3 Katlı,2 Gün Önce,Kadıköy,Yüksek Giriş,Fenerbahçe,3.250.000 TL,4,Kombi
60bdd078d34df1b74c794613,180 m2,Uygun,4 Katlı,2 Gün Önce,Maltepe,4. Kat,Küçükyalı,1.450.000 TL,5,Kombi
60bdd07bd34df1b74c794614,120 m2,Uygun,5 Katlı,3 Gün Önce,Bakırköy,3. Kat,Yeşilyurt,2.450.000 TL,4,Kombi
60bdd07ed34df1b74c794615,98 m2,Eşyalı Değil,20 Katlı,6 Gün Önce,Başakşehir,15. Kat,Bahçeşehir 2. Kısım,610.000 TL,2,Merkezi (Pay Ölçer)
60bdd080d34df1b74c794616,130 m2,Uygun,7 Katlı,2 Gün Önce,Kadıköy,4. Kat,Merdivenköy,830.000 TL,4,Merkezi
60bdd084d34df1b74c794617,95 m2,4 Katlı,null,2 Gün Önce,Fatih,Yüksek Giriş,Şehremini,420.000 TL,3,Kombi
60bdd087d34df1b74c794618,105 m2,Eşyalı Değil,1 Katlı,4 Gün Önce,Esenyurt,5. Kat,Yenikent,257.000 TL,3,Kombi
60bdd08ad34df1b74c794619,105 m2,Uygun,5 Katlı,Bugün,Beylikdüzü,2. Kat,Kavaklı,463.500 TL,3,Kombi
60bdd08ed34df1b74c79461a,80 m2,Uygun,6 Katlı,3 Gün Önce,Şişli,Bodrum,19 Mayıs,425.000 TL,3,Merkezi
60bdd091d34df1b74c79461b,160 m2,Eşyalı,15 Katlı,5 Gün Önce,Esenyurt,4. Kat,Zafer,330.000 TL,4,Merkezi
60bdd094d34df1b74c79461c,140 m2,Eşyalı Değil,4 Katlı,5 Gün Önce,Beylikdüzü,2. Kat,Cumhuriyet,430.000 TL,4,Kombi
60bdd097d34df1b74c79461d,80 m2,1,4 Katlı,3 Gün Önce,Bakırköy,Bahçe Katı,Kartaltepe,820.000 TL,3,Kombi
60bdd09ad34df1b74c79461e,150 m2,Uygun,6 Katlı,2 Gün Önce,Eyüpsultan,2. Kat,Yeşilpınar,770.000 TL,4,Kombi
60bdd09cd34df1b74c79461f,320 m2,Uygun değil,3 Katlı,5 Gün Önce,Bakırköy,2. Kat,Şenlikköy,3.300.000 TL,8,Kombi
60bdd09fd34df1b74c794620,145 m2,Uygun,8 Katlı,2 Gün Önce,Kadıköy,6. Kat,Caddebostan,3.200.000 TL,4,Kombi
